Experiment #6  Min_Sup : 0.1, Min_Conf : 0.85
----------------------------------------------
1 ['膨化食品'] ['饮料'] 0.9468085106382979 0.2386058981233244
2 ['啤酒'] ['饮料'] 0.923728813559322 0.14611260053619302
3 ['白酒'] ['饮料'] 0.8888888888888888 0.15013404825737264
4 ['冰品'] ['饮料'] 0.9510489510489512 0.18230563002680966
5 ['休闲小食品'] ['饮料'] 0.937799043062201 0.26273458445040215
6 ['散装休闲食品'] ['饮料'] 0.8743315508021391 0.4383378016085791
7 ['杂粮'] ['散装休闲食品'] 0.8730158730158729 0.14745308310991956
8 ['冷藏素食制品'] ['饮料'] 0.888198757763975 0.19168900804289543
9 ['滋补保健品'] ['饮料'] 0.9752066115702479 0.1581769436997319
10 ['常温熟食类'] ['饮料'] 0.9230769230769231 0.450402144772118
11 ['杂粮'] ['饮料'] 0.9682539682539683 0.16353887399463807
12 ['糖果巧克力'] ['饮料'] 0.9171779141104294 0.4008042895442359
13 ['常温乳制品'] ['饮料'] 0.9753086419753086 0.21179624664879357
14 ['进口食品'] ['饮料'] 0.9329268292682926 0.4101876675603217
15 ['调味品'] ['饮料'] 0.927536231884058 0.34316353887399464
16 ['炒货食品'] ['饮料'] 0.9403973509933774 0.1903485254691689
17 ['即食主食'] ['饮料'] 0.9018181818181817 0.3324396782841823
18 ['冷藏熟食'] ['饮料'] 0.9444444444444444 0.13672922252010725
19 ['罐头食品'] ['饮料'] 0.9538461538461538 0.16621983914209115
20 ['南北干货'] ['饮料'] 0.9354838709677419 0.1554959785522788
21 ['冷藏乳制品'] ['饮料'] 0.907258064516129 0.30160857908847183
22 ['中式糕点'] ['饮料'] 0.9537037037037037 0.1380697050938338
23 ['冲饮食品'] ['饮料'] 0.9575471698113207 0.27211796246648795
24 ['饼干'] ['饮料'] 0.9433198380566801 0.31233243967828417
94 ['罐头食品', '冷藏乳制品'] ['饮料'] 1.0 0.10053619302949061
95 ['散装休闲食品', '滋补保健品'] ['进口食品'] 0.851063829787234 0.10723860589812333
96 ['冲饮食品', '休闲小食品'] ['饮料'] 0.9907407407407407 0.14343163538873996
97 ['冲饮食品', '膨化食品'] ['饮料'] 1.0 0.12466487935656836
98 ['常温乳制品', '即食主食'] ['饮料'] 0.9819819819819819 0.14611260053619302
99 ['即食主食', '调味品'] ['饮料'] 0.9753086419753086 0.21179624664879357
100 ['散装休闲食品', '冷藏素食制品'] ['饮料'] 0.9067796610169493 0.14343163538873996
101 ['进口食品', '滋补保健品'] ['饮料'] 0.9895833333333334 0.12734584450402145
102 ['进口食品', '杂粮'] ['饮料'] 0.99 0.13270777479892762
103 ['即食主食', '膨化食品'] ['饮料'] 0.9729729729729731 0.1447721179624665
104 ['糖果巧克力', '杂粮'] ['散装休闲食品'] 0.9222222222222223 0.11126005361930295
105 ['散装休闲食品', '香烟'] ['饮料'] 0.9529411764705882 0.21715817694369974
106 ['常温乳制品', '膨化食品'] ['散装休闲食品'] 0.8850574712643678 0.1032171581769437
107 ['常温乳制品', '常温熟食类'] ['饮料'] 0.9849624060150376 0.17560321715817695
108 ['常温熟食类', '调味品'] ['饮料'] 0.9609756097560975 0.2640750670241287
109 ['糖果巧克力', '冷藏素食制品'] ['饮料'] 0.9519230769230769 0.13270777479892762
110 ['膨化食品', '常温熟食类'] ['饮料'] 0.9854014598540146 0.18096514745308312
111 ['饼干', '糖果巧克力'] ['饮料'] 0.9615384615384616 0.23458445040214476
112 ['冲饮食品', '即食主食'] ['常温熟食类'] 0.8760330578512397 0.14209115281501342
113 ['冷藏素食制品', '调味品'] ['饮料'] 0.9494949494949495 0.1260053619302949
114 ['糖果巧克力', '常温乳制品'] ['进口食品'] 0.861111111111111 0.12466487935656836
115 ['即食主食', '常温熟食类'] ['饮料'] 0.9439252336448598 0.2707774798927614
116 ['糖果巧克力', '冷藏乳制品'] ['饮料'] 0.9695121951219512 0.2131367292225201
117 ['炒货食品', '散装休闲食品'] ['进口食品'] 0.8583333333333334 0.1380697050938338
118 ['炒货食品', '饼干'] ['糖果巧克力'] 0.8666666666666667 0.10455764075067024
119 ['糖果巧克力', '常温乳制品'] ['散装休闲食品'] 0.8703703703703703 0.1260053619302949
120 ['散装休闲食品', '糖果巧克力'] ['饮料'] 0.9471365638766521 0.28820375335120646
121 ['冷藏乳制品', '膨化食品'] ['进口食品'] 0.8823529411764706 0.12064343163538874
122 ['常温乳制品', '调味品'] ['散装休闲食品'] 0.8867924528301886 0.1260053619302949
123 ['进口食品', '冷藏熟食'] ['饮料'] 0.9753086419753086 0.10589812332439678
124 ['饼干', '冷藏乳制品'] ['饮料'] 0.9788732394366199 0.1863270777479893
125 ['炒货食品', '调味品'] ['饮料'] 0.9803921568627451 0.13404825737265416
126 ['进口食品', '常温乳制品'] ['常温熟食类'] 0.8538461538461537 0.1487935656836461
127 ['饮料', '杂粮'] ['常温熟食类'] 0.8606557377049181 0.14075067024128687
128 ['杂粮', '常温熟食类'] ['饮料'] 0.9905660377358491 0.14075067024128687
129 ['冲饮食品', '香烟'] ['饮料'] 0.9795918367346939 0.128686327077748
130 ['冰品', '常温熟食类'] ['饮料'] 1.0 0.1353887399463807
131 ['进口食品', '香烟'] ['饮料'] 0.9586206896551726 0.1863270777479893
132 ['散装休闲食品', '进口食品'] ['饮料'] 0.950207468879668 0.306970509383378
133 ['进口食品', '膨化食品'] ['饮料'] 0.9862068965517241 0.19168900804289543
134 ['休闲小食品', '饼干'] ['进口食品'] 0.8692307692307691 0.15147453083109919
135 ['香烟', '冷藏乳制品'] ['饮料'] 0.9189189189189191 0.13672922252010725
136 ['糖果巧克力', '滋补保健品'] ['进口食品'] 0.8636363636363636 0.10187667560321716
137 ['冲饮食品', '罐头食品'] ['饮料'] 1.0 0.10053619302949061
138 ['中式糕点', '散装休闲食品'] ['饮料'] 0.9540229885057472 0.11126005361930295
139 ['休闲小食品', '冷藏乳制品'] ['饮料'] 0.9741379310344828 0.15147453083109919
140 ['休闲小食品', '冷藏乳制品'] ['进口食品'] 0.8793103448275863 0.13672922252010725
141 ['休闲小食品', '即食主食'] ['常温熟食类'] 0.8640000000000001 0.1447721179624665
142 ['炒货食品', '即食主食'] ['进口食品'] 0.8936170212765958 0.1126005361930295
143 ['休闲小食品', '膨化食品'] ['进口食品'] 0.8723404255319149 0.10991957104557641
144 ['炒货食品', '常温熟食类'] ['散装休闲食品'] 0.8727272727272728 0.128686327077748
145 ['散装休闲食品', '冰品'] ['饮料'] 0.9523809523809523 0.13404825737265416
146 ['休闲小食品', '冷藏乳制品'] ['散装休闲食品'] 0.8534482758620691 0.13270777479892762
147 ['休闲小食品', '饼干'] ['饮料'] 0.9692307692307692 0.16890080428954424
148 ['炒货食品', '休闲小食品'] ['散装休闲食品'] 0.9222222222222223 0.11126005361930295
149 ['常温乳制品', '冷藏乳制品'] ['进口食品'] 0.8829787234042553 0.11126005361930295
150 ['糖果巧克力', '常温乳制品'] ['常温熟食类'] 0.8703703703703703 0.1260053619302949
151 ['进口食品', '即食主食'] ['饮料'] 0.9680851063829787 0.24396782841823056
152 ['滋补保健品', '调味品'] ['饮料'] 1.0 0.11662198391420911
153 ['冲饮食品', '休闲小食品'] ['散装休闲食品'] 0.8703703703703703 0.1260053619302949
154 ['南北干货', '常温熟食类'] ['饮料'] 0.9666666666666667 0.11662198391420911
155 ['杂粮', '调味品'] ['饮料'] 0.9791666666666666 0.1260053619302949
156 ['香烟', '常温熟食类'] ['饮料'] 0.9615384615384616 0.23458445040214476
157 ['炒货食品', '即食主食'] ['散装休闲食品'] 0.8617021276595744 0.10857908847184987
158 ['糖果巧克力', '杂粮'] ['饮料'] 0.9777777777777777 0.11796246648793565
159 ['糖果巧克力', '冰品'] ['饮料'] 0.9611650485436893 0.13270777479892762
160 ['糖果巧克力', '滋补保健品'] ['饮料'] 1.0 0.11796246648793565
161 ['香烟', '白酒'] ['饮料'] 0.9411764705882353 0.128686327077748
162 ['饮料', '白酒'] ['香烟'] 0.8571428571428572 0.128686327077748
163 ['糖果巧克力', '膨化食品'] ['饮料'] 0.9710144927536232 0.17962466487935658
164 ['冲饮食品', '糖果巧克力'] ['饮料'] 0.9863945578231292 0.19436997319034852
165 ['香烟', '即食主食'] ['饮料'] 0.9411764705882353 0.15013404825737264
166 ['休闲小食品', '进口食品'] ['饮料'] 0.9631901840490797 0.21045576407506703
167 ['炒货食品', '常温熟食类'] ['饮料'] 0.9636363636363638 0.14209115281501342
168 ['糖果巧克力', '杂粮'] ['常温熟食类'] 0.8555555555555556 0.1032171581769437
169 ['糖果巧克力', '即食主食'] ['饮料'] 0.9702380952380952 0.21849865951742628
170 ['炒货食品', '调味品'] ['散装休闲食品'] 0.872549019607843 0.1193029490616622
171 ['常温乳制品', '冷藏乳制品'] ['散装休闲食品'] 0.8723404255319149 0.10991957104557641
172 ['冷藏素食制品', '即食主食'] ['饮料'] 0.9130434782608696 0.1126005361930295
173 ['糖果巧克力', '罐头食品'] ['进口食品'] 0.8631578947368421 0.10991957104557641
174 ['饼干', '即食主食'] ['饮料'] 0.9724137931034482 0.18900804289544235
175 ['常温乳制品', '冷藏乳制品'] ['常温熟食类'] 0.8617021276595744 0.10857908847184987
176 ['休闲小食品', '调味品'] ['进口食品'] 0.8939393939393939 0.1581769436997319
177 ['休闲小食品', '常温乳制品'] ['进口食品'] 0.8988764044943821 0.10723860589812333
178 ['炒货食品', '即食主食'] ['饮料'] 0.9574468085106382 0.12064343163538874
179 ['常温乳制品', '调味品'] ['常温熟食类'] 0.8773584905660377 0.12466487935656836
180 ['饼干', '香烟'] ['饮料'] 0.9823008849557522 0.1487935656836461
181 ['中式糕点', '糖果巧克力'] ['饮料'] 0.9629629629629629 0.10455764075067024
182 ['饼干', '常温乳制品'] ['常温熟食类'] 0.891304347826087 0.10991957104557641
183 ['香烟', '调味品'] ['饮料'] 0.9829059829059829 0.15415549597855227
184 ['冷藏素食制品', '冷藏乳制品'] ['饮料'] 0.923913043478261 0.11394101876675604
185 ['冲饮食品', '休闲小食品'] ['进口食品'] 0.861111111111111 0.12466487935656836
186 ['散装休闲食品', '滋补保健品'] ['饮料'] 0.9893617021276596 0.12466487935656836
187 ['饼干', '冷藏素食制品'] ['饮料'] 0.9647058823529412 0.10991957104557641
188 ['饼干', '罐头食品'] ['饮料'] 1.0 0.1126005361930295
189 ['南北干货', '调味品'] ['饮料'] 0.975609756097561 0.10723860589812333
190 ['休闲小食品', '糖果巧克力'] ['饮料'] 0.9662162162162162 0.19168900804289543
191 ['罐头食品', '常温熟食类'] ['饮料'] 0.9801980198019802 0.13270777479892762
192 ['休闲小食品', '常温乳制品'] ['散装休闲食品'] 0.8651685393258427 0.1032171581769437
193 ['休闲小食品', '调味品'] ['散装休闲食品'] 0.8863636363636362 0.15683646112600536
194 ['冲饮食品', '进口食品'] ['饮料'] 0.9751552795031055 0.21045576407506703
195 ['饼干', '调味品'] ['饮料'] 0.9932432432432432 0.1970509383378016
196 ['休闲小食品', '香烟'] ['饮料'] 0.9555555555555555 0.11528150134048257
197 ['南北干货', '常温熟食类'] ['散装休闲食品'] 0.8777777777777778 0.10589812332439678
198 ['常温乳制品', '膨化食品'] ['常温熟食类'] 0.8620689655172414 0.10053619302949061
199 ['炒货食品', '饼干'] ['进口食品'] 0.9111111111111112 0.10991957104557641
200 ['糖果巧克力', '常温乳制品'] ['饮料'] 0.9907407407407407 0.14343163538873996
201 ['散装休闲食品', '饼干'] ['饮料'] 0.965909090909091 0.22788203753351208
202 ['香烟', '膨化食品'] ['饮料'] 0.9764705882352941 0.11126005361930295
203 ['冰品', '即食主食'] ['进口食品'] 0.8850574712643678 0.1032171581769437
204 ['冲饮食品', '饼干'] ['进口食品'] 0.8688524590163935 0.14209115281501342
205 ['饼干', '常温乳制品'] ['进口食品'] 0.8804347826086957 0.10857908847184987
206 ['罐头食品', '即食主食'] ['饮料'] 0.9871794871794872 0.1032171581769437
207 ['冷藏乳制品', '常温熟食类'] ['饮料'] 0.9655172413793104 0.225201072386059
208 ['常温乳制品', '调味品'] ['进口食品'] 0.8962264150943395 0.12734584450402145
209 ['冲饮食品', '糖果巧克力'] ['散装休闲食品'] 0.8503401360544218 0.1675603217158177
210 ['滋补保健品', '常温熟食类'] ['饮料'] 1.0 0.12734584450402145
211 ['滋补保健品', '常温熟食类'] ['进口食品'] 0.8526315789473684 0.10857908847184987
212 ['进口食品', '罐头食品'] ['饮料'] 0.9902912621359223 0.13672922252010725
213 ['冲饮食品', '常温熟食类'] ['饮料'] 0.993421052631579 0.20241286863270777
214 ['冷藏乳制品', '调味品'] ['散装休闲食品'] 0.8689655172413794 0.16890080428954424
215 ['进口食品', '杂粮'] ['散装休闲食品'] 0.8999999999999999 0.12064343163538874
216 ['南北干货', '进口食品'] ['散装休闲食品'] 0.8736842105263158 0.11126005361930295
217 ['休闲小食品', '调味品'] ['饮料'] 0.9696969696969697 0.17158176943699732
218 ['冰品', '即食主食'] ['饮料'] 0.9770114942528737 0.11394101876675604
219 ['炒货食品', '休闲小食品'] ['进口食品'] 0.9222222222222223 0.11126005361930295
220 ['进口食品', '冰品'] ['饮料'] 0.9813084112149533 0.14075067024128687
221 ['即食主食', '冷藏乳制品'] ['饮料'] 0.9626865671641791 0.17292225201072386
222 ['冰品', '调味品'] ['散装休闲食品'] 0.8620689655172414 0.10053619302949061
223 ['冲饮食品', '即食主食'] ['饮料'] 0.9917355371900827 0.16085790884718498
224 ['炒货食品', '常温熟食类'] ['进口食品'] 0.8545454545454546 0.1260053619302949
225 ['冰品', '冷藏乳制品'] ['饮料'] 0.9746835443037974 0.1032171581769437
226 ['炒货食品', '冷藏乳制品'] ['饮料'] 0.9764705882352941 0.11126005361930295
227 ['炒货食品', '即食主食'] ['常温熟食类'] 0.8617021276595744 0.10857908847184987
228 ['休闲小食品', '即食主食'] ['进口食品'] 0.8799999999999999 0.14745308310991956
229 ['常温乳制品', '调味品'] ['饮料'] 1.0 0.14209115281501342
230 ['休闲小食品', '膨化食品'] ['饮料'] 0.9680851063829787 0.12198391420911528
231 ['饼干', '常温乳制品'] ['饮料'] 0.9891304347826086 0.12198391420911528
232 ['饼干', '冰品'] ['饮料'] 0.9885057471264368 0.11528150134048257
233 ['冲饮食品', '炒货食品'] ['饮料'] 1.0 0.1126005361930295
234 ['糖果巧克力', '调味品'] ['饮料'] 0.9728260869565217 0.23994638069705093
235 ['南北干货', '糖果巧克力'] ['饮料'] 1.0 0.10723860589812333
236 ['进口食品', '冷藏乳制品'] ['饮料'] 0.9593023255813954 0.22117962466487937


Association rules mining has completed.

The time spending on Apriori (seconds): 0.163555
